Currajeb, banana, umbrella, canyon.
Garden, carrojeb, pencil, table!
Mountain, uncommon, river, calmojeb.
Cresjeb, window, jungle, ocean.
Cargojeb, suitcase, lamp, bridge.
Candle, airplane, carpet, chilljeb.
Crushjeb, notebook, island, zebra.
Charmojeb, backpack, picture, guitar?
Giraffe, notebook, museum, cursejeb.
Cashjeb, door, unspoken, rainbow.
Climbjeb, suitcase, chair, jellyfish!
Clashjeb, ladder, backpack, clock.
Crossjeb, notebook, jacket, ball.
Crumblejeb, river, jacket, lamp.
Cyclejeb, mountain, balloon, door.
